Rk No,Daśati/Sukta,Ārcika,Adhyāya,Khaṇḍa,Prapāṭhaka,Ardha,S No,R̥k Text,R̥ṣi,Chandas,Dēvata,Padapāṭha
11,2,Pūrvārcika-Āg,1,2,1,1,1.1.2.11.0,न꣡म꣢स्ते अग्न꣣ ओ꣡ज꣢से गृ꣣ण꣡न्ति꣢ देव कृ꣣ष्ट꣡यः꣢। अ꣡मै꣢र꣣मि꣡त्र꣢मर्दय ॥ ,आयुङ्क्ष्वाहिः,गायत्री,अग्निः,न꣡मः꣢꣯। ते꣣। अग्ने। ओ꣡ज꣢꣯से। गृ꣣ण꣡न्ति꣢। दे꣣व। कृष्ट꣡यः꣢। अ꣡मैः꣢꣯। अ꣣मि꣡त्र꣢म्। अ꣣। मि꣡त्र꣢꣯म्। अ꣣र्दय। ११।
12,2,Pūrvārcika-Āg,1,2,1,1,1.1.2.12.0,दू꣣तं꣡ वो꣢ वि꣣श्व꣡वे꣢दसꣳ हव्य꣣वा꣢ह꣣म꣡म꣢र्त्यम्। य꣡जि꣢ष्ठमृञ्जसे गि꣣रा꣢ ॥,वामदेवो गौतमः,गायत्री,अग्निः,दू꣣त꣢म्। वः꣣। विश्व꣡वे꣢दसम्। वि꣣श्व꣢। वे꣣दसम्। हव्यवा꣡ह꣢म्। ह꣣व्य। वा꣡ह꣢꣯म्। अ꣡म꣢꣯र्त्यम्। अ। म꣣र्त्यम्। य꣡जि꣢꣯ष्ठम्। ऋ꣣ञ्जसे। गिरा꣢। १२।
13,2,Pūrvārcika-Āg,1,2,1,1,1.1.2.13.0,उ꣡प꣢ त्वा जा꣣म꣢यो꣣ गि꣢रो꣣ दे꣡दि꣢शतीर्हवि꣣ष्कृतः꣢। वा꣣यो꣡रनी꣢꣯के अस्थिरन् ॥,प्रयोगो भार्गवः,गायत्री,अग्निः,उ꣡प꣢꣯। त्वा꣣। जाम꣡यः꣢। गि꣡रः꣢꣯। दे꣡दि꣢꣯शतीः। ह꣣विष्कृ꣡तः꣢। ह꣣विः। कृ꣡तः꣢꣯। वा꣣योः꣢। अ꣡नी꣢꣯के। अ꣣स्थिरन्। १३।
14,2,Pūrvārcika-Āg,1,2,1,1,1.1.2.14.0,उ꣡प꣢ त्वाग्ने दि꣣वे꣡दि꣢वे꣣ दो꣡षा꣢वस्तर्धि꣣या꣢ व꣣य꣢म्। न꣢मो꣣ भ꣡र꣢न्त꣣ ए꣡म꣢सि ॥,मधुच्छन्दा वैश्वामित्रः,गायत्री,अग्निः,उ꣡प꣢꣯। त्वा꣣। अग्ने। दिवे꣡दि꣢वे। दि꣣वे꣢। दि꣣वे। दो꣡षा꣢꣯वस्तः। दो꣡षा꣢꣯। व꣣स्तः। धिया꣢। व꣣य꣢म्। न꣡मः꣢꣯। भ꣡र꣢꣯न्तः। आ। इ꣣मसि। १४।
15,2,Pūrvārcika-Āg,1,2,1,1,1.1.2.15.0,ज꣡रा꣢बोध꣣ त꣡द्वि꣢विड्ढि वि꣣शे꣡वि꣢शे य꣣ज्ञि꣡या꣢य। स्तो꣡म꣢ꣳ रु꣣द्रा꣡य꣢ दृशी꣣क꣢म् ॥,शुनः शेप आजीगर्तिः,गायत्री,अग्निः,ज꣡रा꣢꣯बोध। ज꣡रा꣢꣯। बो꣣ध। त꣢त्। वि꣣विड्ढि। विशे꣡वि꣢शे। वि꣣शे꣢। वि꣣शे। यज्ञि꣡या꣢य। स्तो꣡म꣢꣯म्। रु꣣द्रा꣡य꣢। दृ꣣शीक꣢म्। १५।
16,2,Pūrvārcika-Āg,1,2,1,1,1.1.2.16.0,प्र꣢ति꣣ त्यं꣡ चारु꣢꣯मध्व꣣रं꣡ गो꣢पी꣣था꣢य꣣ प्र꣡ हू꣢यसे। म꣣रु꣡द्भि꣢रग्न꣣ आ꣡ ग꣢हि ॥ ,मेधातिथिः काण्वः,गायत्री,अग्निः,प्र꣡ति꣢꣯। त्यम्। चा꣡रु꣢꣯म्। अ꣣ध्वर꣢म्। गो꣣पीथा꣡य꣢। प्र। हू꣣यसे। मरु꣡द्भिः꣢। अ꣣ग्ने। आ꣢। ग꣣हि। १६।
17,2,Pūrvārcika-Āg,1,2,1,1,1.1.2.17.0,अ꣢श्वं꣣ न꣢ त्वा꣣ वा꣡र꣢वन्तं व꣣न्द꣡ध्या꣢ अ꣣ग्निं꣡ नमो꣢꣯भिः। स꣣म्रा꣡ज꣢न्तमध्व꣣रा꣡णा꣢म् ॥,शुनः शेप आजीगर्तिः,गायत्री,अग्निः,अ꣡श्व꣢꣯म्। न। त्वा꣣। वा꣡र꣢꣯वन्तम् व꣣न्द꣡ध्यै꣢। अ꣣ग्नि꣢म् न꣡मो꣢꣯भिः। स꣣म्रा꣡ज꣢न्तम्। स꣣म्। रा꣡ज꣢꣯न्तम्। अ꣣ध्वरा꣡णा꣢म्। १७।
18,2,Pūrvārcika-Āg,1,2,1,1,1.1.2.18.0,औ꣣र्वभृगुव꣡च्छुचि꣢꣯मप्नवान꣣व꣡दा हु꣢꣯वे। अ꣣ग्नि꣡ꣳ स꣢मु꣣द्र꣡वा꣢ससम् ॥,प्रयोगो भार्गवः,गायत्री,अग्निः,औ꣣र्वभृगुव꣢त्। औ꣣र्व। भृगुव꣢त्। शु꣡चि꣢꣯म्। अ꣣प्नवानव꣢त्। आ। हु꣣वे। अग्नि꣢म् स꣣मुद्र꣡वा꣢ससम्। स꣣मुद्र꣢। वा꣣ससम्। १८।
19,2,Pūrvārcika-Āg,1,2,1,1,1.1.2.19.0,अ꣣ग्नि꣡मि꣢न्धा꣣नो꣡ मन꣢꣯सा꣣ धि꣡य꣢ꣳ सचेत꣣ म꣡र्त्यः꣢। अ꣣ग्नि꣡मि꣢न्धे वि꣣व꣡स्व꣢भिः ॥,प्रयोगो भार्गवः,गायत्री,अग्निः,अ꣣ग्नि꣢म्। इ꣣न्धानः꣢। म꣡न꣢꣯सा। धि꣡य꣢꣯म् स꣣चेत। म꣡र्त्यः꣢꣯। अ꣣ग्नि꣢म्। इ꣣न्धे। वि꣣व꣡स्व꣢भिः। वि꣣। व꣡स्व꣢भिः। १९।
20,2,Pūrvārcika-Āg,1,2,1,1,1.1.2.20.0,आ꣢꣫दित्प्र꣣त्न꣢स्य꣣ रे꣡त꣢सो꣣ ज्यो꣡तिः꣢ पश्यन्ति वास꣣र꣢म्। प꣣रो꣢꣫ यदि꣣ध्य꣡ते꣢ दि꣣वि꣢ ॥,वत्सः काण्वः,गायत्री,अग्निः,आ꣢त्। इत्। प्र꣣त्न꣡स्य꣢। रे꣡त꣢꣯सः। ज्यो꣡तिः꣢꣯। प꣣श्यन्ति। वासर꣢म्। प꣣रः꣢। यत्। इ꣣ध्य꣡ते꣢। दि꣣वि꣢। २०।
21,3,Pūrvārcika-Āg,1,3,1,1,1.1.3.21.0,अ꣣ग्निं꣡ वो꣢ वृ꣣ध꣡न्त꣢मध्व꣣रा꣡णां꣢ पुरू꣣त꣡म꣢म्। अ꣢च्छा꣣ न꣢प्त्रे꣣ स꣡ह꣢स्वते॥,प्रयोगो भार्गवः,गायत्री,अग्निः,अ꣣ग्नि꣢म्। वः꣣। वृध꣡न्त꣢म्। अ꣣ध्वरा꣡णा꣢म्। पु꣣रूत꣡म꣢म्। अ꣡च्छ꣢꣯। न꣡प्त्रे꣢꣯। स꣡ह꣢꣯स्वते। २१।
22,3,Pūrvārcika-Āg,1,3,1,1,1.1.3.22.0,अ꣣ग्नि꣢स्ति꣣ग्मे꣡न꣢ शो꣣चि꣢षा꣣ य꣢ꣳस꣣द्वि꣢श्वं꣣ न्य3꣢ऽत्रि꣡ण꣢म्। अ꣣ग्नि꣡र्नो꣢ वꣳसते र꣣यि꣢म् ॥,भरद्वाजो बार्हस्पत्यः,गायत्री,अग्निः,अ꣣ग्निः꣢। ति꣣ग्मे꣡न꣢। शो꣣चि꣡षा꣢। यँ꣡ऽस꣢꣯त्। वि꣡श्व꣢꣯म्। नि। अ꣣त्रि꣡ण꣢म्। अ꣣ग्निः꣢। नः꣣। वँऽसते। र꣣यि꣢म्। २२।
23,3,Pūrvārcika-Āg,1,3,1,1,1.1.3.23.0,अ꣡ग्ने꣢ मृ꣣ड꣢ म꣣हा꣢ꣳ अ꣣स्य꣢य꣣ आ꣡ दे꣢व꣣युं꣡ जन꣢꣯म्। इ꣣ये꣡थ꣢ ब꣣र्हि꣢रा꣣स꣡द꣢म् ॥,वामदेवो गौतमः,गायत्री,अग्निः,अ꣡ग्ने꣢꣯। मृ꣣ड꣢। म꣣हा꣢न्। अ꣣सि। अ꣡यः꣢꣯। आ। दे꣣वयु꣢म्। ज꣡न꣢꣯म्। इ꣣ये꣡थ꣢। ब꣣र्हिः꣢। आ꣣स꣡द꣢म्। आ꣣। स꣡द꣢म्। २३।
24,3,Pūrvārcika-Āg,1,3,1,1,1.1.3.24.0,अ꣢ग्ने꣣ र꣡क्षा꣢ णो꣣ अ꣡ꣳह꣢सः꣣ प्र꣡ति꣢ स्म देव रीष꣣तः꣢। त꣡पि꣢ष्ठैर꣣ज꣡रो꣢ दह ॥ ,वसिष्ठो मैत्रावरुणिः,गायत्री,अग्निः,अ꣡ग्ने꣢꣯। र꣡क्ष꣢꣯। नः꣣। अँ꣡ह꣢꣯सः। प्र꣡ति꣢꣯। स्म꣣। देव। रीषतः꣢। त꣡पि꣢꣯ष्ठैः। अ꣣ज꣡रः꣢। अ꣣। ज꣡रः꣢꣯। द꣣ह। २४।
25,3,Pūrvārcika-Āg,1,3,1,1,1.1.3.25.0,अ꣡ग्ने꣢ यु꣣ङ्क्ष्वा꣡ हि ये तवाश्वा꣢꣯सो देव सा꣣ध꣡वः꣢। अ꣢रं꣣ व꣡ह꣢न्त्या꣣श꣡वः꣢ ॥ ,भरद्वाजो बार्हस्पत्यः,गायत्री,अग्निः,अ꣡ग्ने꣢꣯। यु꣣ङ्क्ष्वा꣢। हि। ये। त꣡व꣢꣯। अ꣡श्वा꣢꣯सः। दे꣣व। साध꣡वः꣢। अ꣡र꣢꣯म्। व꣡ह꣢꣯न्ति। आ꣣श꣡वः꣢। २५।
26,3,Pūrvārcika-Āg,1,3,1,1,1.1.3.26.0,नि꣡ त्वा꣢ नक्ष्य विश्पते द्यु꣣म꣡न्तं꣢ धीमहे व꣣य꣢म्। सु꣣वी꣡र꣢मग्न आहुत ॥,वसिष्ठो मैत्रावरुणिः,गायत्री,अग्निः,नि꣢। त्वा꣣। नक्ष्य। विश्पते। द्युम꣡न्त꣢म्। धी꣣महे। वय꣢म् सु꣣वी꣡र꣢म्। सु꣣। वी꣡र꣢꣯म्। अ꣣ग्ने। आहुत। आ। हुत। २६।
27,3,Pūrvārcika-Āg,1,3,1,1,1.1.3.27.0,अ꣣ग्नि꣢र्मू꣣र्धा꣢ दि꣣वः꣢ क꣣कु꣡त्पतिः꣢꣯ पृथि꣣व्या꣢ अ꣣य꣢म्। अ꣣पा꣡ꣳ रेता꣢꣯ꣳसि जिन्वति ॥,विरूप आङ्गिरसः,गायत्री,अग्निः,अ꣣ग्निः꣢। मू꣣र्धा꣢। दि꣣वः꣢। क꣣कु꣢त्। प꣡तिः꣢꣯। पृ꣣थिव्याः꣢। अ꣣य꣢म्। अ꣣पां꣢। रे꣡ताँ꣢꣯सि। जि꣣न्वति। २७।
28,3,Pūrvārcika-Āg,1,3,1,1,1.1.3.28.0,इ꣣म꣢मू꣣ षु꣢꣫ त्वम꣣स्मा꣡क꣢ꣳ स꣣निं꣡ गा꣢य꣣त्रं꣡ नव्या꣢꣯ꣳसम्। अ꣡ग्ने꣢ दे꣣वे꣢षु꣣ प्र꣡ वो꣢चः ॥,शुनः शेप आजीगर्तिः,गायत्री,अग्निः,इ꣣म꣢म्। उ꣣। सु꣢। त्वम्। अ꣣स्मा꣡क꣢म्। स꣣नि꣢म्। गा꣣यत्र꣢म्। न꣡व्याँ꣢꣯सम्। अ꣡ग्ने꣢꣯। दे꣣वे꣡षु꣢। प्र। वो꣣चः। २८।
29,3,Pūrvārcika-Āg,1,3,1,1,1.1.3.29.0,तं꣡ त्वा꣢ गो꣣प꣡व꣢नो गि꣣रा꣡ जनि꣢꣯ष्ठदग्ने अङ्गिरः। स꣡ पा꣢वक श्रुधी꣣ ह꣡व꣢म् ॥,गोपवन आत्रेयः,गायत्री,अग्निः,त꣢म्। त्वा꣣। गो꣣प꣡व꣢नः। गि꣣रा꣢। ज꣡नि꣢꣯ष्ठत्। अ꣣ग्ने। अङ्गिरः। सः꣢। पा꣣वक। श्रुधी। ह꣡व꣢꣯म्। २९।
30,3,Pūrvārcika-Āg,1,3,1,1,1.1.3.30.0,प꣢रि꣣ वा꣡ज꣢पतिः क꣣वि꣢र꣣ग्नि꣢र्ह꣣व्या꣡न्य꣢क्रमीत्। द꣢ध꣣द्र꣡त्ना꣢नि दा꣣शु꣡षे꣢ ॥,वामदेवो गौतमः,गायत्री,अग्निः,प꣡रि꣢꣯। वा꣡ज꣢꣯पतिः। वा꣡ज꣢꣯। प꣣तिः। कविः꣢। अ꣣ग्निः꣢। ह꣣व्या꣡नि꣢। अ꣣क्रमीत्। द꣡ध꣢꣯त्। र꣡त्ना꣢꣯नि। दा꣣शु꣡षे꣢। ३०।
31,3,Pūrvārcika-Āg,1,3,1,1,1.1.3.31.0,,,,,
32,3,Pūrvārcika-Āg,1,3,1,1,1.1.3.32.0,,,,,
33,3,Pūrvārcika-Āg,1,3,1,1,1.1.3.33.0,,,,,
34,3,Pūrvārcika-Āg,1,3,1,1,1.1.3.34.0,,,,,
35,4,Pūrvārcika-Āg,1,4,1,1,1.1.4.35.0,,,,,
36,4,Pūrvārcika-Āg,1,4,1,1,1.1.4.36.0,,,,,
37,4,Pūrvārcika-Āg,1,4,1,1,1.1.4.37.0,,,,,
38,4,Pūrvārcika-Āg,1,4,1,1,1.1.4.38.0,,,,,
39,4,Pūrvārcika-Āg,1,4,1,1,1.1.4.39.0,,,,,
40,4,Pūrvārcika-Āg,1,4,1,1,1.1.4.40.0,,,,,
41,4,Pūrvārcika-Āg,1,4,1,1,1.1.4.41.0,,,,,
42,4,Pūrvārcika-Āg,1,4,1,1,1.1.4.42.0,,,,,
43,4,Pūrvārcika-Āg,1,4,1,1,1.1.4.43.0,,,,,
44,4,Pūrvārcika-Āg,1,4,1,1,1.1.4.44.0,,,,,
45,5,Pūrvārcika-Āg,1,5,1,1,1.1.5.45.0,,,,,
46,5,Pūrvārcika-Āg,1,5,1,1,1.1.5.46.0,,,,,
47,5,Pūrvārcika-Āg,1,5,1,1,1.1.5.47.0,,,,,
48,5,Pūrvārcika-Āg,1,5,1,1,1.1.5.48.0,,,,,
49,5,Pūrvārcika-Āg,1,5,1,1,1.1.5.49.0,,,,,
50,5,Pūrvārcika-Āg,1,5,1,1,1.1.5.50.0,,,,,
51,5,Pūrvārcika-Āg,1,5,1,1,1.1.5.51.0,,,,,
52,5,Pūrvārcika-Āg,1,5,1,1,1.1.5.52.0,,,,,
53,5,Pūrvārcika-Āg,1,5,1,1,1.1.5.53.0,,,,,
54,5,Pūrvārcika-Āg,1,5,1,1,1.1.5.54.0,,,,,
55,6,Pūrvārcika-Āg,1,6,1,2,1.1.6.55.0,,,,,
56,6,Pūrvārcika-Āg,1,6,1,2,1.1.6.56.0,,,,,
57,6,Pūrvārcika-Āg,1,6,1,2,1.1.6.57.0,,,,,
58,6,Pūrvārcika-Āg,1,6,1,2,1.1.6.58.0,,,,,
59,6,Pūrvārcika-Āg,1,6,1,2,1.1.6.59.0,,,,,
60,6,Pūrvārcika-Āg,1,6,1,2,1.1.6.60.0,,,,,
61,6,Pūrvārcika-Āg,1,6,1,2,1.1.6.61.0,,,,,
62,6,Pūrvārcika-Āg,1,6,1,2,1.1.6.62.0,,,,,
63,7,Pūrvārcika-Āg,1,7,1,2,1.1.7.63.0,,,,,
64,7,Pūrvārcika-Āg,1,7,1,2,1.1.7.64.0,,,,,
65,7,Pūrvārcika-Āg,1,7,1,2,1.1.7.65.0,,,,,
66,7,Pūrvārcika-Āg,1,7,1,2,1.1.7.66.0,,,,,
67,7,Pūrvārcika-Āg,1,7,1,2,1.1.7.67.0,,,,,
68,7,Pūrvārcika-Āg,1,7,1,2,1.1.7.68.0,,,,,
69,7,Pūrvārcika-Āg,1,7,1,2,1.1.7.69.0,,,,,
70,7,Pūrvārcika-Āg,1,7,1,2,1.1.7.70.0,,,,,
71,7,Pūrvārcika-Āg,1,7,1,2,1.1.7.71.0,,,,,
72,7,Pūrvārcika-Āg,1,7,1,2,1.1.7.72.0,,,,,
73,8,Pūrvārcika-Āg,1,8,1,2,1.1.8.73.0,,,,,
74,8,Pūrvārcika-Āg,1,8,1,2,1.1.8.74.0,,,,,
75,8,Pūrvārcika-Āg,1,8,1,2,1.1.8.75.0,,,,,
76,8,Pūrvārcika-Āg,1,8,1,2,1.1.8.76.0,,,,,
77,8,Pūrvārcika-Āg,1,8,1,2,1.1.8.77.0,,,,,
78,8,Pūrvārcika-Āg,1,8,1,2,1.1.8.78.0,,,,,
79,8,Pūrvārcika-Āg,1,8,1,2,1.1.8.79.0,,,,,
80,8,Pūrvārcika-Āg,1,8,1,2,1.1.8.80.0,,,,,
81,9,Pūrvārcika-Āg,1,9,1,2,1.1.9.81.0,,,,,
82,9,Pūrvārcika-Āg,1,9,1,2,1.1.9.82.0,,,,,
83,9,Pūrvārcika-Āg,1,9,1,2,1.1.9.83.0,,,,,
84,9,Pūrvārcika-Āg,1,9,1,2,1.1.9.84.0,,,,,
85,9,Pūrvārcika-Āg,1,9,1,2,1.1.9.85.0,,,,,
86,9,Pūrvārcika-Āg,1,9,1,2,1.1.9.86.0,,,,,
87,9,Pūrvārcika-Āg,1,9,1,2,1.1.9.87.0,,,,,
88,9,Pūrvārcika-Āg,1,9,1,2,1.1.9.88.0,,,,,
89,9,Pūrvārcika-Āg,1,9,1,2,1.1.9.89.0,,,,,
90,9,Pūrvārcika-Āg,1,9,1,2,1.1.9.90.0,,,,,
91,10,Pūrvārcika-Āg,1,10,1,2,1.1.10.91.0,,,,,
92,10,Pūrvārcika-Āg,1,10,1,2,1.1.10.92.0,,,,,
93,10,Pūrvārcika-Āg,1,10,1,2,1.1.10.93.0,,,,,
94,10,Pūrvārcika-Āg,1,10,1,2,1.1.10.94.0,,,,,
95,10,Pūrvārcika-Āg,1,10,1,2,1.1.10.95.0,,,,,
96,10,Pūrvārcika-Āg,1,10,1,2,1.1.10.96.0,,,,,
97,1,Pūrvārcika-Āg,1,11,2,1,,,,,,
98,1,Pūrvārcika-Āg,1,11,2,1,,,,,,
99,1,Pūrvārcika-Āg,1,11,2,1,,,,,,
100,1,Pūrvārcika-Āg,1,11,2,1,,,,,,
101,1,Pūrvārcika-Āg,1,11,2,1,,,,,,
102,1,Pūrvārcika-Āg,1,11,2,1,,,,,,
103,1,Pūrvārcika-Āg,1,11,2,1,,,,,,
104,1,Pūrvārcika-Āg,1,11,2,1,,,,,,
105,1,Pūrvārcika-Āg,1,11,2,1,,,,,,
106,1,Pūrvārcika-Āg,1,11,2,1,,,,,,
107,2,Pūrvārcika-Āg,1,12,2,1,,,,,,
108,2,Pūrvārcika-Āg,1,12,2,1,,,,,,
109,2,Pūrvārcika-Āg,1,12,2,1,,,,,,
110,2,Pūrvārcika-Āg,1,12,2,1,,,,,,
111,2,Pūrvārcika-Āg,1,12,2,1,,,,,,
112,2,Pūrvārcika-Āg,1,12,2,1,,,,,,
113,2,Pūrvārcika-Āg,1,12,2,1,,,,,,
114,2,Pūrvārcika-Āg,1,12,2,1,,,,,,
115,3,Pūrvārcika-Ain,2,1,2,1,,,,,,
116,3,Pūrvārcika-Ain,2,1,2,1,,,,,,
117,3,Pūrvārcika-Ain,2,1,2,1,,,,,,
118,3,Pūrvārcika-Ain,2,1,2,1,,,,,,
119,3,Pūrvārcika-Ain,2,1,2,1,,,,,,
120,3,Pūrvārcika-Ain,2,1,2,1,,,,,,
121,3,Pūrvārcika-Ain,2,1,2,1,,,,,,
122,3,Pūrvārcika-Ain,2,1,2,1,,,,,,
123,3,Pūrvārcika-Ain,2,1,2,1,,,,,,
124,3,Pūrvārcika-Ain,2,1,2,1,,,,,,
125,4,Pūrvārcika-Ain,2,2,2,1,,,,,,
126,4,Pūrvārcika-Ain,2,2,2,1,,,,,,
127,4,Pūrvārcika-Ain,2,2,2,1,,,,,,
128,4,Pūrvārcika-Ain,2,2,2,1,,,,,,
129,4,Pūrvārcika-Ain,2,2,2,1,,,,,,
130,4,Pūrvārcika-Ain,2,2,2,1,,,,,,
131,4,Pūrvārcika-Ain,2,2,2,1,,,,,,
132,4,Pūrvārcika-Ain,2,2,2,1,,,,,,
133,4,Pūrvārcika-Ain,2,2,2,1,,,,,,
134,4,Pūrvārcika-Ain,2,2,2,1,,,,,,
135,5,Pūrvārcika-Ain,2,3,2,1,,,,,,
136,5,Pūrvārcika-Ain,2,3,2,1,,,,,,
137,5,Pūrvārcika-Ain,2,3,2,1,,,,,,
138,5,Pūrvārcika-Ain,2,3,2,1,,,,,,
139,5,Pūrvārcika-Ain,2,3,2,1,,,,,,
140,5,Pūrvārcika-Ain,2,3,2,1,,,,,,
141,5,Pūrvārcika-Ain,2,3,2,1,,,,,,
142,5,Pūrvārcika-Ain,2,3,2,1,,,,,,
143,5,Pūrvārcika-Ain,2,3,2,1,,,,,,
144,5,Pūrvārcika-Ain,2,3,2,1,,,,,,
145,6,Pūrvārcika-Ain,2,4,2,2,,,,,,
146,6,Pūrvārcika-Ain,2,4,2,2,,,,,,
147,6,Pūrvārcika-Ain,2,4,2,2,,,,,,
148,6,Pūrvārcika-Ain,2,4,2,2,,,,,,
149,6,Pūrvārcika-Ain,2,4,2,2,,,,,,
150,6,Pūrvārcika-Ain,2,4,2,2,,,,,,
151,6,Pūrvārcika-Ain,2,4,2,2,,,,,,
152,6,Pūrvārcika-Ain,2,4,2,2,,,,,,
153,6,Pūrvārcika-Ain,2,4,2,2,,,,,,
154,6,Pūrvārcika-Ain,2,4,2,2,,,,,,
155,6,Pūrvārcika-Ain,2,4,2,2,,,,,,
156,7,Pūrvārcika-Ain,2,5,2,2,,,,,,
157,7,Pūrvārcika-Ain,2,5,2,2,,,,,,
158,7,Pūrvārcika-Ain,2,5,2,2,,,,,,
159,7,Pūrvārcika-Ain,2,5,2,2,,,,,,
160,7,Pūrvārcika-Ain,2,5,2,2,,,,,,
161,7,Pūrvārcika-Ain,2,5,2,2,,,,,,
162,7,Pūrvārcika-Ain,2,5,2,2,,,,,,
163,7,Pūrvārcika-Ain,2,5,2,2,,,,,,
164,7,Pūrvārcika-Ain,2,5,2,2,,,,,,
165,8,Pūrvārcika-Ain,2,6,2,2,,,,,,
166,8,Pūrvārcika-Ain,2,6,2,2,,,,,,
167,8,Pūrvārcika-Ain,2,6,2,2,,,,,,
168,8,Pūrvārcika-Ain,2,6,2,2,,,,,,
169,8,Pūrvārcika-Ain,2,6,2,2,,,,,,
170,8,Pūrvārcika-Ain,2,6,2,2,,,,,,
171,8,Pūrvārcika-Ain,2,6,2,2,,,,,,
172,8,Pūrvārcika-Ain,2,6,2,2,,,,,,
173,8,Pūrvārcika-Ain,2,6,2,2,,,,,,
174,8,Pūrvārcika-Ain,2,6,2,2,,,,,,
175,9,Pūrvārcika-Ain,2,7,2,2,,,,,,
176,9,Pūrvārcika-Ain,2,7,2,2,,,,,,
177,9,Pūrvārcika-Ain,2,7,2,2,,,,,,
178,9,Pūrvārcika-Ain,2,7,2,2,,,,,,
179,9,Pūrvārcika-Ain,2,7,2,2,,,,,,
180,9,Pūrvārcika-Ain,2,7,2,2,,,,,,
181,9,Pūrvārcika-Ain,2,7,2,2,,,,,,
182,9,Pūrvārcika-Ain,2,7,2,2,,,,,,
183,9,Pūrvārcika-Ain,2,7,2,2,,,,,,
184,9,Pūrvārcika-Ain,2,7,2,2,,,,,,
185,10,Pūrvārcika-Ain,2,8,2,2,,,,,,
186,10,Pūrvārcika-Ain,2,8,2,2,,,,,,
187,10,Pūrvārcika-Ain,2,8,2,2,,,,,,
188,10,Pūrvārcika-Ain,2,8,2,2,,,,,,
189,10,Pūrvārcika-Ain,2,8,2,2,,,,,,
190,10,Pūrvārcika-Ain,2,8,2,2,,,,,,
191,10,Pūrvārcika-Ain,2,8,2,2,,,,,,
192,10,Pūrvārcika-Ain,2,8,2,2,,,,,,
193,10,Pūrvārcika-Ain,2,8,2,2,,,,,,
194,1,Pūrvārcika-Ain,2,9,3,1,,,,,,
195,1,Pūrvārcika-Ain,2,9,3,1,,,,,,
196,1,Pūrvārcika-Ain,2,9,3,1,,,,,,
197,1,Pūrvārcika-Ain,2,9,3,1,,,,,,
198,1,Pūrvārcika-Ain,2,9,3,1,,,,,,
199,1,Pūrvārcika-Ain,2,9,3,1,,,,,,
200,1,Pūrvārcika-Ain,2,9,3,1,,,,,,
201,1,Pūrvārcika-Ain,2,9,3,1,,,,,,
202,1,Pūrvārcika-Ain,2,9,3,1,,,,,,
203,1,Pūrvārcika-Ain,2,9,3,1,,,,,,
204,2,Pūrvārcika-Ain,2,10,3,1,,,,,,
205,2,Pūrvārcika-Ain,2,10,3,1,,,,,,
206,2,Pūrvārcika-Ain,2,10,3,1,,,,,,
207,2,Pūrvārcika-Ain,2,10,3,1,,,,,,
208,2,Pūrvārcika-Ain,2,10,3,1,,,,,,
209,2,Pūrvārcika-Ain,2,10,3,1,,,,,,
210,2,Pūrvārcika-Ain,2,10,3,1,,,,,,
211,2,Pūrvārcika-Ain,2,10,3,1,,,,,,
212,2,Pūrvārcika-Ain,2,10,3,1,,,,,,
213,2,Pūrvārcika-Ain,2,10,3,1,,,,,,
214,3,Pūrvārcika-Ain,2,11,3,1,,,,,,
215,3,Pūrvārcika-Ain,2,11,3,1,,,,,,
216,3,Pūrvārcika-Ain,2,11,3,1,,,,,,
217,3,Pūrvārcika-Ain,2,11,3,1,,,,,,
218,3,Pūrvārcika-Ain,2,11,3,1,,,,,,
219,3,Pūrvārcika-Ain,2,11,3,1,,,,,,
220,3,Pūrvārcika-Ain,2,11,3,1,,,,,,
221,3,Pūrvārcika-Ain,2,11,3,1,,,,,,
222,3,Pūrvārcika-Ain,2,11,3,1,,,,,,
223,4,Pūrvārcika-Ain,2,12,3,1,,,,,,
224,4,Pūrvārcika-Ain,2,12,3,1,,,,,,
225,4,Pūrvārcika-Ain,2,12,3,1,,,,,,
226,4,Pūrvārcika-Ain,2,12,3,1,,,,,,
227,4,Pūrvārcika-Ain,2,12,3,1,,,,,,
228,4,Pūrvārcika-Ain,2,12,3,1,,,,,,
229,4,Pūrvārcika-Ain,2,12,3,1,,,,,,
230,4,Pūrvārcika-Ain,2,12,3,1,,,,,,
231,4,Pūrvārcika-Ain,2,12,3,1,,,,,,
232,4,Pūrvārcika-Ain,2,12,3,1,,,,,,
233,5,Pūrvārcika-Ain,3,1,3,1,,,,,,
234,5,Pūrvārcika-Ain,3,1,3,1,,,,,,
235,5,Pūrvārcika-Ain,3,1,3,1,,,,,,
236,5,Pūrvārcika-Ain,3,1,3,1,,,,,,
237,5,Pūrvārcika-Ain,3,1,3,1,,,,,,
238,5,Pūrvārcika-Ain,3,1,3,1,,,,,,
239,5,Pūrvārcika-Ain,3,1,3,1,,,,,,
240,5,Pūrvārcika-Ain,3,1,3,1,,,,,,
241,5,Pūrvārcika-Ain,3,1,3,1,,,,,,
242,5,Pūrvārcika-Ain,3,1,3,1,,,,,,
243,6,Pūrvārcika-Ain,3,2,3,2,,,,,,
244,6,Pūrvārcika-Ain,3,2,3,2,,,,,,
245,6,Pūrvārcika-Ain,3,2,3,2,,,,,,
246,6,Pūrvārcika-Ain,3,2,3,2,,,,,,
247,6,Pūrvārcika-Ain,3,2,3,2,,,,,,
